StarName,Reference,RA,Decl,Teff,logg,Metallicity,Fe,Fe_H_error,Sr,Sr_Fe_error,Y,Y_Fe_error,Zr,Zr_Fe_error,Nb,Nb_Fe_error,Pd,Pd_Fe_error,Ag,Ag_Fe_error,Eu,Eu_Fe_error,Tb,Tb_Fe_error,Tm,Tm_Fe_error,Hf,Hf_Fe_error,Ir,Ir_Fe_error,longitude,latitude,Coord_X,Coord_Y,Coord_Z,VX,VY,VZ,RV
CS22956-050,P.Francois AAP 476 935 2007,21 58 05.81,-65 13 27.2,4900,1.7,-3.3,-3.33,,-0.37,,-0.46,,-0.09,,,,,,,,<0.01,,,,,,,,,,326 11 29.36,-43 15 30.34,6328.86,-4238.16,-7167.33,,,,
CS22956-062,I.U.Roederer AJ 147 136 2014,22 07 26.21,-66 08 57.4,5540,3.4,-2.76,-2.75,0.21,-0.1,0.24,-0.47,0.19,0.15,0.2,,,,,,,<0.77,,<2.19,,<2.1,,,,<2.82,,,,,,,,,,
CS22956-081,I.U.Roederer AJ 147 136 2014,22 04 11.90,-62 50 52.4,6310,3.8,-2.8,-2.71,0.22,-0.12,0.21,-0.03,0.21,,,,,,,,,<1.51,,<2.92,,<2.67,,<2.96,,,,,,,,,,,,
CS22956-102,I.U.Roederer AJ 147 136 2014,22 16 36.54,-65 19 45.4,6220,3.85,-2.21,-2.39,0.21,1.07,0.19,0.56,0.16,1.16,0.14,,,,,,,1,0.17,<3.05,,,,<2.81,,,,,,,,,,,,
CS22956-106,I.U.Roederer AJ 147 136 2014,22 16 50.42,-66 05 05.1,6410,3.9,-2.6,-2.69,0.22,0.12,0.22,,,<1.34,,<3.2,,,,,,<1.42,,<2.71,,<3.64,,<3.22,,,,,,,,,,,,
CS22956-110,I.U.Roederer AJ 147 136 2014,22 19 43.52,-66 41 21.9,6010,1.85,-3.14,-3.15,0.17,0.26,0.24,<0.49,,<0.59,,<2.75,,,,,,<1.09,,<2.3,,<2.14,,<2.62,,,,,,,,,,,,
CS22956-114,I.U.Roederer AJ 147 136 2014,22 26 08.19,-65 33 06.6,4900,1.75,-2.86,-3.19,0.15,0.25,0.24,-0.19,0.18,0.15,0.16,,,,,,,0.2,0.18,<1.26,,<2.3,,<1.71,,,,,,,,,,,,
CS22957-013,I.U.Roederer AJ 147 136 2014,23 55 49.00,-05 22 52.0,4620,0.95,-3.01,-2.98,0.15,-0.42,0.25,-0.83,0.2,-0.42,0.17,<1.8,,,,,,-0.31,0.17,<0.63,,<0.65,,<1.22,,,,089 07 03.80,-64 32 13.46,126.481,8213.09,-17249.9,-1.419,-92.165,193.574,-214.4
CS22957-019,I.U.Roederer AJ 147 136 2014,23 57 31.51,-06 57 05.6,6070,3.75,-2.42,-2.43,0.21,0.02,0.23,-0.56,0.23,0.07,0.27,<2.21,,,,,,<1.03,,<1.71,,<1.54,,<2.22,,,,,,,,,,,,
CS22957-022,I.U.Roederer AJ 147 136 2014,00 01 45.50,-05 49 46.6,4860,1.65,-3.17,-3.28,0.14,-0.33,0.24,-0.61,0.19,-0.06,0.19,<2.06,,,,,,<0.16,,<1.24,,<1.1,,<1.79,,,,091 40 58.65,-65 38 27.95,-85.423,2907.35,-6424.23,0.383,-13.028,28.787,-31.6
