StarName,Reference,RA,Decl,Teff,logg,Metallicity,Fe,Fe_H_error,Sr,Sr_Fe_error,Y,Y_Fe_error,Zr,Zr_Fe_error,Nb,Nb_Fe_error,Pd,Pd_Fe_error,Ag,Ag_Fe_error,Eu,Eu_Fe_error,Tb,Tb_Fe_error,Tm,Tm_Fe_error,Hf,Hf_Fe_error,Ir,Ir_Fe_error,longitude,latitude,Coord_X,Coord_Y,Coord_Z,VX,VY,VZ,RV
CS29495-042,I.U.Roederer AJ 147 136 2014,21 39 11.40,-28 17 54.5,5180,2.55,-2.18,-2.54,0.14,0.92,0.11,0.74,0.15,1.15,0.15,,,,,,,0.61,0.15,,,,,1.34,0.26,,,019 44 05.49,-47 43 17.36,2137.93,766.957,-2498.05,-60.029,-21.535,70.141,-94.8
CS29497-030,I.I.Ivans ApJ 627 L145 2005,00 40 47.93,-24 07 33.9,7000,4.1,-2.57,-2.57,,1.37,0.12,1,0.1,1.42,0.1,1.63,0.2,,,<2.07,,1.98,0.1,,,,,2.49,0.15,<2.49,,083 43 49.23,-86 09 28.50,5.344,48.639,-728.603,,,,
CS29497-030,I.U.Roederer AJ 147 136 2014,00 40 47.93,-24 07 33.9,7000,4,-2.52,-2.52,0.08,1.3,0.05,0.64,0.18,1.38,0.16,<3.04,,,,,,1.71,0.17,<2.87,,<2.66,,<3.1,,,,083 43 49.23,-86 09 28.50,6.023,54.825,-821.28,0.329,2.997,-44.899,45
CS29498-043,I.U.Roederer AJ 147 136 2014,21 03 52.11,-29 42 50.2,4440,0.5,-3.85,-3.87,0.15,0.1,0.24,-0.24,0.19,,,,,,,,,<0.23,,<1.48,,<2,,<1.6,,,,015 45 31.95,-40 24 27.50,17439.6,4921.39,-15426.1,-23.67,-6.68,20.938,-32.3
CS29498-043,I.U.Roederer ApJ 784 158 2014,21 03 52.11,-29 42 50.2,4440,0.5,-3.85,-3.87,0.15,0.1,0.24,-0.24,0.19,,,,,,,,,<0.23,,<1.48,,<2,,<1.6,,,,015 45 31.95,-40 24 27.50,17439.6,4921.39,-15426.1,-23.67,-6.68,20.938,-32.3
CS29499-003,I.U.Roederer AJ 147 136 2014,23 39 42.95,-26 58 55.7,6080,3.75,-2.35,-2.51,0.21,0.33,0.24,-0.13,0.18,0.45,0.18,,,,,,,0.79,0.16,<2.08,,<1.9,,<2.45,,,,,,,,,,,,
CS29499-058,I.U.Roederer AJ 147 136 2014,23 52 15.90,-25 58 18.7,6060,3.7,-2.61,-2.81,0.21,0.27,0.23,0.05,0.2,0.79,0.16,<2.83,,,,,,0.64,0.35,<2.15,,<2.02,,<2.68,,,,,,,,,,,,
CS29499-060,I.U.Roederer AJ 147 136 2014,23 53 40.20,-26 58 44.0,6280,3.8,-2.75,-2.79,0.22,-0.58,0.14,<0.08,,,,<2.6,,,,,,<0.88,,<2.28,,<2.16,,<2.78,,,,030 17 44.14,-77 08 41.37,187.101,109.314,-949.549,-10.911,-6.375,55.376,-56.8
CS29501-032,I.U.Roederer AJ 147 136 2014,21 07 52.49,-35 12 47.4,5950,3.65,-2.71,-2.92,0.21,0.16,0.16,-0.36,0.29,<1.29,,<2.91,,,,,,<1.38,,<2.34,,<2.37,,<2.8,,,,,,,,,,,,
CS29502-042,P.Francois AAP 476 935 2007,22 21 48.82,+02 28 44.9,5100,2.5,-3,-3.19,,-1.93,,<-1.72,,<-0.69,,,,,,,,<-0.23,,,,1.71,,,,,,066 20 41.76,-43 21 35.08,670.511,1530.73,-1578.1,,,,
CS29502-092,I.U.Roederer AJ 147 136 2014,22 22 35.90,-01 38 27.0,4820,1.5,-3.2,-3.3,0.15,-0.33,0.24,-0.68,0.19,,,<2.36,,,,,,<0.11,,<1.38,,<1.36,,<1.81,,<1.78,,062 06 34.18,-46 11 06.30,1346.74,2544.56,-3000.6,-21.569,-40.753,48.057,-66.6
CS29502-092,I.U.Roederer ApJ 784 158 2014,22 22 35.90,-01 38 27.0,4820,1.5,-3.2,-3.3,0.15,-0.33,0.24,-0.68,0.19,,,<2.36,,,,,,<0.11,,<1.38,,<1.36,,<1.81,,<1.78,,062 06 34.18,-46 11 06.30,1346.74,2544.56,-3000.6,-21.569,-40.753,48.057,-66.6
CS29502-092,D.K.Lai ApJ 681 1524 2008,22 22 35.90,-01 38 27.0,4890,1.72,-3.3,-3.18,0.09,-0.36,0.17,-0.6,0.08,-0.26,0.08,,,,,,,<-0.32,,,,,,,,,,062 06 34.18,-46 11 06.30,1102.35,2082.81,-2456.09,,,,
CS29504-004,I.U.Roederer AJ 147 136 2014,01 31 02.39,-36 38 31.0,7500,2.5,-2.35,-2.38,0.17,-0.39,0.15,<0.27,,<0.67,,<2.76,,,,,,<1.44,,<2.69,,<2.44,,<2.89,,,,,,,,,,,,
CS29504-006,I.U.Roederer AJ 147 136 2014,01 32 04.97,-36 22 43.0,6150,3.7,-2.91,-3.12,0.22,0.03,0.17,<1.49,,<1.34,,<3.52,,,,,,<1.75,,<3.01,,<2.85,,<3.34,,,,,,,,,,,,
CS29506-007,I.U.Roederer AJ 147 136 2014,21 20 28.60,-20 46 24.0,5940,3.6,-2.94,-3.24,0.21,0.25,0.21,-0.15,0.32,,,<3.14,,,,,,<1.36,,<2.54,,<2.41,,<3.1,,,,028 30 40.83,-41 43 20.43,1203.86,653.954,-1221.6,37.318,20.272,-37.868,56.9
CS29506-007,D.K.Lai ApJ 681 1524 2008,21 20 28.60,-20 46 24.0,6369,3.84,-2.85,-2.85,0.08,0.23,0.09,0.27,0.16,0.65,0.1,,,,,,,<0.87,,,,,,,,,,028 30 40.83,-41 43 20.43,1068.69,580.528,-1084.44,,,,
CS29506-090,I.U.Roederer AJ 147 136 2014,21 30 28.87,-22 10 41.4,5940,3.6,-3.08,-3.21,0.22,0.37,0.21,-0.12,0.29,,,<3.05,,,,,,<1.38,,<2.5,,<2.36,,<3.15,,,,027 38 34.87,-44 21 56.78,1245.57,652.361,-1375.28,-12.919,-6.766,14.264,-20.4
CS29509-027,I.U.Roederer AJ 147 136 2014,00 50 15.78,-30 59 56.2,6850,3.5,-2.42,-2.42,0.08,1.03,0.04,0.53,0.15,0.89,0.14,<2.59,,,,,,<1.12,,<2.14,,<2.06,,<2.54,,,,306 39 21.43,-86 07 14.95,51.069,-68.624,-1261.51,2.997,-4.027,-74.03,74.2
CS29512-073,I.U.Roederer AJ 147 136 2014,22 28 36.70,-12 24 44.1,5650,3.6,-1.93,-2.1,0.21,0.47,0.15,0.37,0.16,0.66,0.14,<2.01,,,,,,0.53,0.16,<1.98,,<2.13,,<1.87,,,,049 34 05.15,-53 29 41.86,617.723,725.004,-1286.96,-28.975,-34.007,60.366,-75.1
CS29512-073,C.J.Hansen AAP 545 A31 2012,22 28 36.70,-12 24 44.1,5000,1.85,-2.67,-2.67,0.15,0.28,0.14,0.09,0.15,-0.07,0.16,,,,,,,0.08,0.22,,,,,,,,,049 34 05.15,-53 29 41.86,3057.81,3588.87,-6370.64,,,,
CS29513-003,I.U.Roederer AJ 147 136 2014,23 15 31.71,-41 56 19.8,5480,1.9,-2.46,-2.47,0.17,0.25,0.25,-0.33,0.16,0.13,0.16,<1.59,,,,,,0.5,0.16,<1.52,,<0.98,,<1.26,,<2.01,,,,,,,,,,
CS29513-014,I.U.Roederer AJ 147 136 2014,23 14 24.91,-37 53 07.0,5440,1.55,-2.32,-2.32,0.17,0.71,0.22,0.08,0.15,0.37,0.15,<1.75,,,,,,0.24,0.16,<1.66,,<1.65,,<1.21,,,,,,,,,,,,
CS29513-015,I.U.Roederer AJ 147 136 2014,23 14 33.04,-37 36 05.2,6110,3.75,-2.51,-2.63,0.21,0.05,0.23,-0.28,0.32,0.3,0.2,<2.67,,,,,,<0.94,,<2.14,,<2.15,,<2.5,,,,,,,,,,,,
CS29513-031,I.U.Roederer AJ 147 136 2014,23 25 11.34,-39 59 28.4,6600,4,-2.59,-2.67,0.21,-0.16,0.13,<0.11,,<1.26,,,,,,,,<1.28,,<2.53,,<2.38,,<2.96,,,,351 39 56.61,-68 00 02.35,825.278,-120.899,-2064.5,109.598,-16.056,-274.17,295.7
CS29513-031,I.U.Roederer ApJ 711 573 2010,23 25 11.34,-39 59 28.4,6650,3.7,-2.55,-2.64,0.1,-0.43,0.2,<0.11,,<1.14,,,,,,,,<1.11,,<2.38,,<2.23,,<2.81,,,,351 39 56.61,-68 00 02.35,1184.72,-173.556,-2963.69,109.598,-16.056,-274.17,295.7
CS29513-032,I.U.Roederer AJ 147 136 2014,23 22 19.09,-39 44 24.3,6080,3.85,-1.91,-1.85,0.21,0.21,0.21,-0.14,0.18,0.45,0.15,<2.16,,,,,,0.48,0.17,<1.64,,<1.5,,<1.84,,<2.8,,352 56 38.28,-67 38 06.34,626.652,-77.565,-1534.64,-81.415,10.077,199.382,-215.6
CS29513-032,I.U.Roederer ApJ 711 573 2010,23 22 19.09,-39 44 24.3,5810,3.3,-2.1,-2.08,0.1,0.21,0.15,-0.19,0.1,0.33,0.12,<2.19,,,,,,0.36,0.29,<1.69,,<1.56,,<1.89,,<2.95,,352 56 38.28,-67 38 06.34,1048.06,-129.726,-2566.65,-81.491,10.087,199.567,-215.8
CS29514-007,I.U.Roederer AJ 147 136 2014,01 06 40.60,-24 58 41.0,6400,3.85,-2.81,-2.83,0.22,-0.12,0.18,<0.35,,<0.94,,<3.21,,,,,,<1.74,,<3.21,,<2.65,,<3.12,,,,,,,,,,,,
CS29514-017,I.U.Roederer AJ 147 136 2014,01 09 44.80,-26 16 55.0,5270,2.8,-2.34,-2.35,0.14,-0.08,0.26,-0.52,0.19,0.06,0.16,<1.84,,,,,,0.08,0.17,<1.06,,<0.9,,<1.58,,,,,,,,,,,,
CS29514-018,I.U.Roederer AJ 147 136 2014,01 09 28.61,-26 39 48.6,5990,3.7,-2.58,-2.84,0.21,-0.17,0.18,-0.4,0.25,0.31,0.21,<2.59,,,,,,<0.86,,<2.17,,<1.99,,<2.66,,,,,,,,,,,,
CS29514-037,I.U.Roederer AJ 147 136 2014,01 21 41.69,-27 03 31.3,5970,3.7,-2.47,-2.62,0.21,0.09,0.23,-0.06,0.17,0.04,0.25,<2.47,,,,,,<0.76,,<1.94,,<1.83,,<2.4,,,,,,,,,,,,
CS29516-024,P.Francois AAP 476 935 2007,22 26 15.36,+02 51 46.3,4650,1.2,-3,-3.06,,-0.54,,-0.71,,-0.29,,,,,,,,-0.26,,,,,,,,,,067 46 16.35,-43 55 07.77,3152.54,7713.98,-8024.6,,,,
CS29517-018,I.U.Roederer AJ 147 136 2014,23 53 37.91,-17 23 10.0,5680,3.5,-2.94,-2.78,0.21,0.06,0.24,-0.24,0.19,0.46,0.16,,,,,,,<0.88,,<2.57,,<1.89,,<2.42,,,,,,,,,,,,
CS29517-042,I.U.Roederer AJ 147 136 2014,00 05 03.15,-16 22 05.1,6120,3.75,-2.54,-2.53,0.21,-0.3,0.19,-0.37,0.24,0.16,0.18,<2.44,,,,,,<0.74,,<1.8,,<1.7,,<2.35,,,,,,,,,,,,
CS29518-051,P.Francois AAP 476 935 2007,01 24 10.01,-28 15 21.1,5200,2.6,-2.8,-2.78,,0.23,,-0.03,,0.27,,,,,,,,<-0.14,,,,1.88,,,,,,223 40 02.14,-82 40 09.35,-226.483,-216.184,-2433.75,,,,
CS29522-046,D.K.Lai ApJ 681 1524 2008,23 44 59.86,+08 46 52.9,6055,3.8,-2.1,-2.09,0.08,0.32,0.09,0.12,0.06,0.43,0.08,,,,,,,<0.22,,,,,,,,,,096 28 27.51,-50 38 42.58,-56.132,494.64,-607.024,,,,
CS29529-054,I.U.Roederer MNRAS 445 2970 2014,03 59 23.87,-62 10 08.9,5710,3.55,-2.75,-2.75,0.07,-0.1,0.24,,,,,,,,,,,0.9,0.21,,,,,,,,,,,,,,,,,
CS29529-054,I.U.Roederer AJ 147 136 2014,03 59 23.87,-62 10 08.9,5710,3.55,-2.75,-2.55,0.21,-0.3,0.24,-0.32,0.2,,,<2.79,,,,,,0.7,0.21,<2.21,,<2.22,,<2.61,,,,,,,,,,,,
CS30306-132,S.Honda ApJ 607 474 2004,15 14 18.91,+07 27 02.8,5110,2.5,-2.42,-2.41,0.13,0.18,0.14,0.13,0.12,0.48,0.14,,,,,,,0.87,0.05,,,0.91,-0.14,,,,,009 26 04.97,+50 51 33.50,1485.93,246.919,1850.82,,,,
CS30312-044,I.U.Roederer AJ 147 136 2014,15 37 07.55,+00 32 53.3,4660,1.05,-3.19,-3.22,0.14,-0.15,0.25,-0.67,0.18,0.04,0.16,<1.87,,,,,,0.31,0.16,<1.02,,<0.98,,<1.13,,<1.37,,,,,,,,,,
CS30312-059,I.U.Roederer AJ 147 136 2014,15 34 48.80,-01 23 38.0,4780,1.4,-3.26,-3.41,0.15,0.03,0.26,-0.25,0.18,0.35,0.16,<2.04,,,,,,0.41,0.17,<0.98,,<1.04,,<1.64,,,,003 39 32.77,+41 27 03.70,6000.75,383.75,5310.7,-116.911,-7.477,-103.467,-156.3
CS30312-059,D.K.Lai ApJ 681 1524 2008,15 34 48.80,-01 23 38.0,5021,2.06,-3.15,-3.14,0.09,0.08,0.17,0.02,0.08,0.37,0.08,,,,,,,0.62,0.11,,,,,,,,,003 39 32.77,+41 27 03.70,3229.51,206.528,2858.14,,,,
CS30312-059,C.J.Hansen AAP 545 A31 2012,15 34 48.80,-01 23 38.0,5021,1.9,-3.06,-3.06,0.15,0.09,0.15,-0.32,0.13,0.43,0.37,,,,,,,,,,,,,,,,,003 39 32.77,+41 27 03.70,3953.09,252.802,3498.51,,,,
CS30312-062,I.U.Roederer AJ 147 136 2014,15 37 32.85,-01 43 53.2,6600,2.45,-2.65,-2.64,0.17,-0.48,0.18,,,<0.37,,<2.29,,,,,,<0.99,,<2,,<1.79,,<2.5,,,,,,,,,,,,
CS30312-100,I.U.Roederer AJ 147 136 2014,15 43 31.66,+02 01 17.4,5040,2.15,-2.68,-2.69,0.15,-0.39,0.25,-0.84,0.19,-0.21,0.17,<1.69,,,,,,-0.17,0.19,<1.01,,<0.96,,<1.45,,,,009 03 35.22,+41 47 06.20,2664.46,424.859,2411.13,-79.746,-12.716,-72.164,-108.3
CS30312-100,C.J.Hansen AAP 545 A31 2012,15 43 31.66,+02 01 17.4,5200,2.35,-2.62,-2.62,0.15,-0.34,0.2,-0.79,0.12,-0.17,0.17,,,,,,,0.12,0.21,,,,,,,,,009 03 35.22,+41 47 06.20,2443,389.546,2210.73,,,,
CS30314-067,I.U.Roederer AJ 147 136 2014,20 52 50.99,-34 19 40.5,4320,0.5,-3.01,-3.31,0.15,-0.06,0.18,-0.53,0.17,0.21,0.15,,,,,,,-0.32,0.17,<0.57,,<1.13,,<1.03,,,,009 18 50.70,-38 56 33.74,7012.94,1150.18,-5743.08,111.751,18.328,-91.516,145.6
CS30314-067,I.U.Roederer ApJ 784 158 2014,20 52 50.99,-34 19 40.5,4320,0.5,-3.01,-3.31,0.15,-0.06,0.18,-0.53,0.17,0.21,0.15,,,,,,,-0.32,0.17,<0.57,,<1.13,,<1.03,,,,009 18 50.70,-38 56 33.74,7012.94,1150.18,-5743.08,111.751,18.328,-91.516,145.6
CS30315-029,C.SiqueiraMello AAP 565 A93 2014,23 34 26.60,-26 42 14.0,4570,0.99,-3.4,-3.43,0.13,-0.28,0.17,-0.23,0.13,0.08,0.14,,,<0.76,,,,0.67,0.13,0.71,0.2,0.59,-0.17,,,<1.31,,029 56 43.05,-72 50 54.22,3709.5,2136.96,-13871.1,-43.441,-25.025,162.44,-170
CS30322-023,T.Masseron AAP 455 1059 2006,21 30 32.18,-46 16 24.7,4100,-0.3,-3.5,-3.44,0.18,-0.43,,-0.33,0.15,0.18,0.3,,,,,,,-0.48,,-0.08,,-0.18,,0.73,0.1,,,353 12 10.51,-46 18 35.30,13953.9,-1663.18,-14710.3,77.747,-9.267,-81.962,113.35
CS30325-028,D.K.Lai ApJ 681 1524 2008,15 05 19.79,+06 17 07.0,4911,1.7,-2.9,-2.9,0.09,0.26,0.18,0.04,0.08,0.42,0.08,,,,,,,0.14,0.21,,,,,,,,,005 49 27.10,+51 59 02.17,3414.24,348.262,4390.16,,,,
CS30325-094,P.Francois AAP 476 935 2007,14 54 39.27,+04 21 38.1,4950,2,-3.4,-3.3,,-2.19,,<-1.51,,<-1.52,,,,,,,,<-0.12,,,,,,,,,,000 37 40.31,+52 50 02.24,1875.04,20.548,2473.47,,,,
CS30336-049,D.K.Lai ApJ 681 1524 2008,20 45 23.50,-28 42 36.0,4827,1.51,-3.95,-4.04,0.09,-1.4,0.18,,,,,,,,,,,<0.94,,,,,,,,,,015 51 27.06,-36 15 14.20,8730.94,2480.08,-6656.01,,,,
CS30339-015,I.U.Roederer AJ 147 136 2014,00 16 58.11,-33 48 17.6,5840,3.6,-2.86,-3,0.22,-0.12,0.19,<0.1,,<0.67,,<2.99,,,,,,<1.07,,<2.28,,<2.24,,<2.9,,,,,,,,,,,,
CS30339-046,I.U.Roederer AJ 147 136 2014,00 25 21.67,-36 30 24.4,7000,2.55,-2.69,-2.71,0.17,-0.56,0.17,<0.23,,<0.87,,<3.07,,,,,,<1.52,,<2.56,,<2.48,,<3.01,,,,,,,,,,,,
CS30339-052,I.U.Roederer AJ 147 136 2014,00 22 50.14,-34 07 20.7,5580,2.35,-2.67,-2.69,0.17,0.63,0.26,-0.12,0.19,0.41,0.18,,,,,,,0.57,0.17,<1.88,,<1.73,,<2.38,,,,,,,,,,,,
CS30339-069,I.U.Roederer AJ 147 136 2014,00 30 15.90,-35 56 51.0,5900,3.55,-3.17,-3.5,0.22,-0.11,0.14,<0.66,,<1.25,,<3.47,,,,,,<1.67,,<2.77,,<2.93,,<3.52,,<4.12,,328 40 21.89,-80 05 54.27,363.866,-221.471,-2440.28,4.554,-2.772,-30.538,31
CS30339-073,I.U.Roederer AJ 147 136 2014,00 34 52.30,-36 55 16.0,4830,1.55,-3.8,-3.93,0.15,-1.11,0.15,<-0.4,,<0.42,,,,,,,,<0.59,,<1.72,,<1.71,,<2.28,,<2.56,,,,,,,,,,
CS30492-001,I.U.Roederer AJ 147 136 2014,21 05 55.23,-42 10 10.1,5790,3.65,-2.35,-2.62,0.21,0.24,0.24,-0.16,0.18,0.34,0.16,<2.57,,,,,,<0.84,,,,<1.97,,<2.64,,,,,,,,,,,,
CS30492-001,I.U.Roederer ApJ 784 158 2014,21 05 55.23,-42 10 10.1,5790,3.65,-2.35,-2.62,0.21,0.24,0.24,-0.16,0.18,0.34,0.16,<2.57,,,,,,<0.84,,,,<1.97,,<2.64,,,,,,,,,,,,
CS30492-016,I.U.Roederer AJ 147 136 2014,21 04 49.76,-40 14 47.9,5570,3.35,-3.4,-3.3,0.22,<-1.8,,<-0.26,,<1.17,,,,,,,,<1.28,,<2.48,,<2.22,,<2.9,,,,,,,,,,,,
CS30492-110,I.U.Roederer AJ 147 136 2014,21 21 45.83,-38 08 57.9,4660,1.05,-3.16,-3.27,0.15,0.02,0.24,-0.57,0.18,0.08,0.16,<1.75,,,,,,0.28,0.16,<0.91,,<0.9,,<1.66,,,,,,,,,,,,
CS30493-071,I.U.Roederer AJ 147 136 2014,23 16 30.80,-35 34 35.9,5700,3.55,-2.46,-2.82,0.21,0.65,0.24,0.16,0.17,0.73,0.16,<2.64,,,,,,<0.79,,<1.93,,<1.81,,<2.48,,,,,,,,,,,,
CS30494-003,I.U.Roederer AJ 147 136 2014,03 59 10.03,-21 06 48.0,4930,1.85,-2.97,-2.97,0.15,0.12,0.25,-0.58,0.19,0.05,0.17,<1.95,,,,,,0.02,0.18,<1.05,,<1,,<1.52,,,,,,,,,,,,
CS31062-050,W.Aoki ApJ 650 L127 2006,00 30 31.07,-12 05 10.9,5500,2.7,-2.3,-2.3,,,,,,,,,,,,,,1.79,0.05,,,,,2.26,0.1,1.27,0.2,103 51 00.69,-74 10 40.68,-166.943,677.109,-2460.9,,,,
CS31062-050,J.A.Johnson ApJ 605 462 2004,00 30 31.07,-12 05 10.9,5500,2.7,-2.3,-2.41,0.13,,,0.5,0.22,0.88,0.19,,,1.11,0.24,,,1.82,0.17,1.53,0.16,2,-0.19,2.37,0.2,,,103 51 00.69,-74 10 40.68,-166.943,677.109,-2460.9,,,,
CS31078-018,D.K.Lai ApJ 681 1524 2008,03 01 00.70,+06 16 31.9,5257,2.75,-2.85,-2.84,0.03,0.27,0.16,0.2,0.06,0.58,0.06,,,0.91,0.19,,,1.15,0.05,,,,,,,,,170 54 03.24,-44 11 55.64,-1641.97,262.975,-1617.03,,,,
CS31082-001,I.U.Roederer MNRAS 445 2970 2014,01 29 31.14,-16 00 45.5,4650,1.05,-3.03,-3.03,0.07,0.67,0.12,,,,,,,,,,,1.37,0.16,,,,,,,,,163 20 20.43,-75 48 10.72,-1346.74,403.043,-5556.73,-32.636,9.767,-134.658,138.9
CS31082-001,I.U.Roederer AJ 147 136 2014,01 29 31.14,-16 00 45.5,4650,1.05,-3.03,-3.09,0.15,0.73,0.12,0.26,0.15,0.7,0.15,,,,,,,1.44,0.16,1.39,0.16,1.51,-0.18,1.27,0.22,1.8,0.19,163 20 20.43,-75 48 10.72,-1346.74,403.043,-5556.73,-32.636,9.767,-134.658,138.9
CS31082-001,V.Hill AAP 387 560 2002,01 29 31.14,-16 00 45.5,4825,1.5,-2.9,-2.9,,0.75,0.03,0.46,0.07,0.75,0.15,0.89,,1.28,0.1,0.89,0.17,1.62,0.11,1.32,0.07,1.54,-0.1,1.6,,1.72,,163 20 20.43,-75 48 10.72,-895.427,267.977,-3694.57,-32.671,9.778,-134.803,139.05
CS31082-001,C.J.Hansen AAP 545 A31 2012,01 29 31.14,-16 00 45.5,4925,1.51,-2.81,-2.81,0.15,0.66,0.11,0.82,0.16,0.77,0.26,,,1.29,0.19,0.93,0.27,1.53,0.31,,,,,,,,,163 20 20.43,-75 48 10.72,-936.979,280.412,-3866.02,,,,
CS31082-001,S.Honda ApJ 607 474 2004,01 29 31.14,-16 00 45.5,4790,1.8,-2.81,-2.8,0.12,0.51,0.19,0.37,0.46,0.74,0.33,,,,,,,1.69,0.01,1.32,0.19,1.48,-0.19,,,,,163 20 20.43,-75 48 10.72,-619.411,185.373,-2555.72,,,,
CS31085-024,D.K.Lai ApJ 681 1524 2008,00 08 27.94,+10 54 19.8,5949,4.57,-2.7,-2.68,0.08,-0.2,0.1,,,,,,,,,,,<0.59,,,,,,,,,,106 11 02.07,-50 33 42.26,-98.719,340.149,-430.605,,,,
G10-54,I.U.Roederer AJ 147 136 2014,11 49 48.20,+06 08 52.1,5210,4.4,-2.3,-2.29,0.11,0.03,0.14,,,<0.72,,,,,,,,<1.25,,<2.59,,<3.17,,<2.68,,,,,,,,,,,,
G107-50,I.U.Roederer AJ 147 136 2014,07 09 52.88,+42 39 13.3,6030,3.85,-1.89,-2.06,0.21,0.54,0.23,0.46,0.17,0.73,0.23,,,,,,,<0.73,,<2.11,,<3.24,,<2.58,,,,,,,,,,,,
G115-49,I.U.Roederer AJ 147 136 2014,09 05 16.68,+38 47 54.6,5420,3.8,-2.6,-2.61,0.1,0.01,0.16,,,0.53,0.41,,,,,,,<0.79,,<2.3,,,,<2.69,,,,183 50 37.88,+41 55 25.39,-264.622,-17.78,238.166,48.402,3.252,-43.563,-65.2
G122-69,I.U.Roederer AJ 147 136 2014,12 03 04.30,+47 19 26.2,6010,3.7,-2.5,-2.78,0.22,-0.56,0.22,<0.63,,<0.71,,,,,,,,<1.39,,<2.87,,<3.71,,<3.13,,,,144 53 44.57,+67 41 19.20,-232.096,163.146,691.341,31.338,-22.028,-93.346,-100.9
G137-86,I.U.Roederer AJ 147 136 2014,16 10 15.24,+09 08 22.0,5820,3.75,-1.76,-1.9,0.21,0.18,0.24,,,0.33,0.23,,,,,,,<0.46,,<1.95,,<2.35,,<1.96,,,,,,,,,,,,
G146-56,I.U.Roederer AJ 147 136 2014,10 39 50.49,+42 09 05.2,5290,4.05,-1.57,-1.58,0.11,-0.02,0.06,-0.23,0.12,0.47,0.17,,,,,,,<0.55,,<1.81,,,,<2.4,,,,,,,,,,,,
G146-76,I.U.Roederer AJ 147 136 2014,10 59 57.48,+44 46 43.8,4980,2.1,-2.13,-2.08,0.15,-0.09,0.21,-0.55,0.16,-0.06,0.15,<1.11,,,,,,0.13,0.15,,,0.13,-0.31,,,<0.95,,,,,,,,,,
G15-10,I.U.Roederer AJ 147 136 2014,15 09 46.02,-04 45 06.6,5050,4.05,-2.54,-2.53,0.1,-0.17,0.09,-0.3,0.17,0.12,0.15,<2.05,,,,,,0.32,0.19,<1.26,,<1.4,,<1.97,,<1.77,,,,,,,,,,
G153-64,I.U.Roederer AJ 147 136 2014,16 32 30.03,-08 33 38.2,5630,4.15,-1.09,-1.08,0.1,0.15,0.06,-0.01,0.12,0.46,0.12,,,,,,,0.18,0.13,,,,,<0.77,,<1.08,,,,,,,,,,
G16-25,I.U.Roederer AJ 147 136 2014,16 01 21.72,+05 23 42.8,5250,4.1,-2.07,-2.08,0.11,-0.22,0.14,<-0.26,,<1.11,,,,,,,,<0.41,,<2.1,,<2.59,,<2.33,,,,016 01 08.33,+39 55 05.68,382.176,109.724,332.673,17.471,5.016,15.208,23.7
G161-73,I.U.Roederer AJ 147 136 2014,09 45 37.82,-04 40 28.2,5680,3.9,-1.07,-1.42,0.22,0.1,0.14,-0.06,0.14,0.41,0.14,<1.78,,,,,,0.38,0.13,,,<0.69,,<1.38,,,,,,,,,,,,
G166-47,I.U.Roederer AJ 147 136 2014,14 50 02.55,+32 38 56.3,5960,3.7,-2.28,-2.46,0.21,0.2,0.27,<0.07,,<0.67,,,,,,,,<1.14,,<2.46,,<3.24,,<2.82,,,,,,,,,,,,
G180-58,I.U.Roederer AJ 147 136 2014,16 28 16.87,+44 40 38.3,4980,4.4,-2.62,-2.6,0.1,-0.13,0.1,-0.28,0.16,0.34,0.15,,,,,,,<0.65,,<1.4,,<1.55,,<1.95,,<1.97,,,,,,,,,,
G188-22,I.U.Roederer AJ 147 136 2014,21 43 57.12,+27 23 24.0,5890,3.9,-1.44,-1.5,0.21,0.35,0.13,0.01,0.15,0.51,0.14,<1.55,,,,,,0.18,0.14,<0.99,,<1.7,,<1.2,,,,079 34 20.42,-19 17 45.62,32.344,175.752,-62.567,-16.126,-87.625,31.194,-94.4
G188-30,I.U.Roederer AJ 147 136 2014,21 55 16.10,+32 38 41.0,5090,4.3,-2.07,-2.05,0.1,-0.08,0.06,-0.28,0.14,0.32,0.11,,,,,,,<0.16,,<1.05,,<0.76,,<1.37,,,,085 11 03.57,-17 01 14.49,10.513,124.785,-38.335,-14.786,-175.51,53.918,-184.2
G190-10,I.U.Roederer AJ 147 136 2014,23 07 59.75,+41 51 20.4,5230,4.35,-1.94,-1.95,0.1,0.01,0.08,-0.04,0.16,0.4,0.14,<1.94,,,,,,0.16,0.16,,,<0.98,,<1.4,,,,,,,,,,,,
G190-15,I.U.Roederer AJ 147 136 2014,23 13 38.82,+39 25 02.6,4950,3.85,-3.13,-3.12,0.1,-0.77,0.16,<-0.63,,<0.7,,,,,,,,<0.46,,<1.65,,<1.65,,<2.17,,,,,,,,,,,,
G199-66,I.U.Roederer AJ 147 136 2014,13 20 31.28,+56 34 48.3,5560,3.45,-2.34,-2.14,0.21,-0.54,0.27,,,-0.06,0.38,,,,,,,<0.62,,<2.11,,,,,,,,,,,,,,,,
G201-44,I.U.Roederer AJ 147 136 2014,15 13 57.36,+53 51 51.7,6000,3.9,-1.63,-1.72,0.21,0.26,0.2,-0.14,0.17,0.32,0.14,<1.59,,,,,,0.34,0.15,,,<1.23,,<1.46,,,,,,,,,,,,
